response,id,name,gender,race,height,weight,eye-color,hair-color,full_name,alter_egos,aliases,place_of_birth,first_appearance,publisher,alignment,group-affiliation,relatives,intelligence,strength,speed,durability,power,combat,occupation,base
success,1,A-Bomb,Male,Human,6'8,980 lb,Yellow,No Hair,Richard Milhouse Jones,No alter egos found.,Rick Jones,"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,good,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",38,100,17,80,24,64,"Musician, adventurer, author; formerly talk show host",-
success,1,A-Bomb,Male,Human,203 cm,441 kg,Yellow,No Hair,Richard Milhouse Jones,No alter egos found.,Rick Jones,"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,good,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",38,100,17,80,24,64,"Musician, adventurer, author; formerly talk show host",-
success,2,Abe Sapien,Male,Icthyo Sapien,6'3,145 lb,Blue,No Hair,Abraham Sapien,No alter egos found.,Langdon Everett Caul,-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",88,28,35,65,100,85,Paranormal Investigator,-
success,2,Abe Sapien,Male,Icthyo Sapien,6'3,145 lb,Blue,No Hair,Abraham Sapien,No alter egos found.,Abraham Sapien,-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",88,28,35,65,100,85,Paranormal Investigator,-
success,2,Abe Sapien,Male,Icthyo Sapien,6'3,145 lb,Blue,No Hair,Abraham Sapien,No alter egos found.,Langdon Caul,-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",88,28,35,65,100,85,Paranormal Investigator,-
success,2,Abe Sapien,Male,Icthyo Sapien,191 cm,65 kg,Blue,No Hair,Abraham Sapien,No alter egos found.,Langdon Everett Caul,-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",88,28,35,65,100,85,Paranormal Investigator,-
success,2,Abe Sapien,Male,Icthyo Sapien,191 cm,65 kg,Blue,No Hair,Abraham Sapien,No alter egos found.,Abraham Sapien,-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",88,28,35,65,100,85,Paranormal Investigator,-
success,2,Abe Sapien,Male,Icthyo Sapien,191 cm,65 kg,Blue,No Hair,Abraham Sapien,No alter egos found.,Langdon Caul,-,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",88,28,35,65,100,85,Paranormal Investigator,-
success,3,Abin Sur,Male,Ungaran,6'1,200 lb,Blue,No Hair,,No alter egos found.,Lagzia,Ungara,"Showcase #22 (October, 1959)",DC Comics,good,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",50,90,53,64,99,65,"Green Lantern, former history professor",Oa
success,3,Abin Sur,Male,Ungaran,185 cm,90 kg,Blue,No Hair,,No alter egos found.,Lagzia,Ungara,"Showcase #22 (October, 1959)",DC Comics,good,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",50,90,53,64,99,65,"Green Lantern, former history professor",Oa
